Symbol,Open,High,Low,Close,Beta,52Low,52High,Market Cap,Volume,Shares,Sector,Industry
TRV,178.63,180.11,176.55,179.15,0.6286,149.6467,194.51,"41,377 M","1,497,006","230,976,565",Financials,Insurance
USB,28.5,29.7,27.27,29.8,0.9946,30.19,53.365,"44,426 M","48,099,620","1,533,000,000",Financials,Banks
WFC,37.68,38.08,36.4,38.65,1.158,35.43,48.84,"137,782 M","53,246,973","3,752,223,519",Financials,Banks
WTW,225.24,226.19,222.13,226.15,0.7483,187.89,258.93,"23,867 M","493,128","106,413,057",Financials,Insurance
ZION,21.79,22.3,18.26,22.66,1.14,20.41,59.75,"2,952 M","25,522,973","148,100,000",Financials,Banks
A,135.38,136.04,133.76,134.77,1.027,112.52,160.265,"39,589 M","1,103,693","295,701,853",Health Care,Life Sciences Tools & Services
ABBV,149,149,146.35,149.25,0.5376,134.09,168.11,"259,964 M","5,694,328","1,764,141,787",Health Care,Biotechnology
ABC,166.83,167.8954,165.79,166.89,0.5223,135.14,174.63,"33,729 M","958,429","202,466,004",Health Care,Health Care Providers & Services
ABT,111.45,111.49,110.56,111.76,0.6431,93.25,118.23,"192,669 M","4,070,791","1,737,946,233",Health Care,Health Care Equipment & Supplies
ALGN,301.2,304.3,297.83,303.11,1.698,172.05,368.87,"23,337 M","730,234","76,739,012",Health Care,Health Care Equipment & Supplies
AMGN,230.31,232.025,229.15,229.31,0.6211,223.3,296.67,"123,905 M","2,228,478","534,326,594",Health Care,Biotechnology
BAX,46.13,46.36,45.22,46.5,0.5713,37.345,77.08,"22,910 M","4,159,851","505,850,082",Health Care,Health Care Equipment & Supplies
BIIB,311.42,314.37,309.585,311,0.2134,187.16,311.89,"45,387 M","1,214,059","144,742,368",Health Care,Biotechnology
BIO,467.76,468.45,458.78,463.86,0.8348,344.63,572.7,"13,691 M","126,555","29,595,711",Health Care,Life Sciences Tools & Services
BMY,66.45,67.2431,66.4,66.64,0.4353,65.275,81.435,"140,379 M","8,801,885","2,100,847,138",Health Care,Pharmaceuticals
