Symbol,Open,High,Low,Close,Adj Close,Volume,52High,52Low
KTOS,17.81,18.84,17.3,,,"4,295,175",25.08,5
KURA,17.34,17.52,16.88,,,"364,805",20,6.35
KVHI,8.2,8.34,8.1,,,"74,300",11.64,6.36
KW,15.58,15.91,15.49,,,"247,939",23.5,10.98
KWR,206.64,208.26,202.92,,,"122,488",207.73,108.14
KZR,4.88,5.05,4.77,,,"255,516",9.79,2.18
LAD,220.59,231.36,212.28,,,"949,147",211.36,55.74
LADR,7.64,7.78,7.545,,,"660,583",18.969,2.65
LANC,158.78,160.16,156.96,,,"95,378",168.21,114.55
LAND,15.985,16.11,15.81,,,"129,852",16.3683,9.61
LASR,22.8,24.07,22.76,,,"678,465",26.48,9.035
LAUR,11.275,11.52,11.18,,,"1,121,739",21.66,7.3
LAWS,31.23,31.73,31.23,,,"8,057",58.28,24.52
LBAI,10.72,10.77,10.1169,,,"130,044",17.63,8.31
LBC,9.8,9.85,9.66,,,"32,405",11.99,6.76
LBRT,6.6,6.6,6.35,,,"388,989",14.5,2.17
LC,5.61,5.65,5.44,,,"526,068",15.6,4.315
LCI,5.77,5.93,5.58,,,"452,210",15.52,4.89
LCII,120.65,124.32,118.49,,,"115,050",123.505,55.29
LCNB,14.58,14.71,14.43,,,"5,516",19.5,10.03
LCUT,7.09,7.22,6.98,,,"8,079",9.65,3.26
LDL,16.27,16.4837,15.74,,,"124,277",26.99,4.79
LE,8.42,8.62,8.01,,,"239,413",18.39,4.05
LEAF,3.87,4.12,3.77,,,"83,551",6.86,1.03
LEE,0.9002,0.9381,0.889999,,,"180,596",3.09,0.71
LEGH,13.56,14.15,13.44,,,"28,310",17.4986,8.5
LEVL,16.41,16.41,16.28,,,"1,016",26.69,13.445
LFVN,13.31,13.56,13.18,,,"26,882",17.25,7.75
LGIH,112.76,120.54,110.43,,,"354,517",116.8175,33
LGND,122.04,126.65,121.21,,,"244,841",126.3373,57.24
LHCG,188.34,192.43,186.69,,,"224,024",192.16,100
LILA,9.62,9.725,9.51,,,"104,690",19.91,8.21
